Psychological Medicine
Biomacromolecules
J Med Chem
J Med Chem
J Org Chem
Journal of Medicinal Chemistry
Journal of Proteome Research
Mol Pharm
ACS Chemical Biology
ACS Chemical Biology
Journal of Chemical Information and Modeling
Journal of Medicinal Chemistry
Journal of Medicinal Chemistry
Biochemistry
Journal of Medicinal Chemistry
Gastroenterology
Journal of Biological Chemistry
Journal of Immunology
Journal of Immunology
ACS Chemical Biology
ACS Chemical Biology
ACS Chemical Biology
ACS Chemical Neuroscience
ACS NANO
American Chemical Society
Analytical Chemistry
Analytical Chemistry
Analytical Chemistry
Bioconjugate Chemistry
Journal of Medicinal Chemistry
Journal of Medicinal Chemistry
Journal of Medicinal Chemistry 
Journal of Proteome Research
Journal of the American Chemical Society
ACS Nano
CHEST
Journal of Neurophysiology
Journal of Neurophysiology
Journal of Neurophysiology
Journal of Neurophysiology
Journal of Neurophysiology
Journal of Physiology
The Journal of Neurophysiology
American Journal of Psychiatry
Americal Journal of Psychiatry
Behavioral Neuroscience
Behavioral Neuroscience
Behavioral Neuroscience
Emotion
Health Psychology
Journal of Abnormal Psychology
Journal of Consulting and Clinical Psychology
Journal of Experimental Psychology:  Animal Behaviour Process
Journal of Experimental Psychology: Human Perception and Performance
Journal of Family Psychology
Psychological Assessment
Psychological Review
"Psychological Trauma: Theory research, practice and policy"
Journal of Experimental Psychology: Human Perception and Performance
American Journal of Public Health
Journal of Biological Chemistry
Journal of Biological Chemistry
J Biol Chem.
J Biol Chem.
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
JOURNAL OF BIOLOGICAL CHEMISTRY
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
The Journal of Biological Chemistry
American Journal of Pathology
Antimicrobial Agents and Chemotherapy
Antimicrobial Agents and Chemotherapy
Antimicrobial Agents and Chemotherapy
Antimicrobial Agfents and Chemotherapy
Clinical and Vaccine Immunology
Eukaryotic Cell
Eukaryotic Cell
Infection and Immunity
Infection and Immunity
Infection and Immunity
Journal of Bacteriology
Journal of Virology
Journal of Virology
Journal of Virology
Mbio
Molecular and Cellular Biology
Journal of Clinical Microbiology 
"Journal of Virology
"
American Society for Nutrition
Blood
Blood
Blood Journal 2012
Blood
Blood
Blood
Blood
Blood
Blood Journal 2012
THE AMERICAN JOURNAL OF HUMAN GENETICS
Jounral of Clinical Microbiology
Journal of Virology
Journal of Virology
Speech Language and Hearing Research
BIOLOGICAL CHEMISTRY
Biologicial Chemistry
J Biol Chem.
J Biol Chem.
J Biol Chem.
J Biol Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
JOURNAL OF BIOLOGICAL CHEMISTRY
Journal of Biological Chemistry
Journal of biological chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
JOURNAL OF BIOLOGICAL CHEMISTRY
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of Biological Chemistry
Journal of biological chemistry
Journal of Biological Chemistry
MCP (Molecular & Cellular Proteomics)
Molecular and Cellular Proteomics
The journal of Biological Chemistry
The Journal of Biological Chemistry
The Journal of Biological Chemistry
The Journal of Biological Chemistry
The Journal of Biological Chemistry
The Journal of Biological Chemistry
Jnl Biological Chemistry
Journal Biological Chemistry
Journal of Biological Chemistry
Journal of Biol Chem
Infection and Immunity
Journal of Virology
Antimicrobial Agents and Chemotherapy
Journal of Vision
Current Topics in Medicinal Chemistry
Current Analytical Chemistry
"Evidence, Ethos and Experiment: The Anthropology and History of Medical Research in Africa."
"Evidence, Ethos and Experiment: The Anthropology and History of Medical Research in Africa."
Biochem Journal
Molecular Cell
Arthritis Research & Therapy
BioMed Central
BMC  Public Health
BMC Biology
BMC Genetics
BMC Genome Biology
BMC Genomics
BMC Genomics
BMC Genomics
BMC Health Services Research
BMC Medical Genetics
BMC Medicine
BMC Medicine
BMC Microbiology
BMC Molecular Biology
BMC Neurology
BMC Neuroscience
BMC Psychiatry
BMC Psychiatry
BMC Public Health
BMC Public Health
BMC Public Health
BMC Research Notes
BMC Veterinary Research
BMS Genomics
Clinical Proteomics
EvoDevo
Genome Biology
Genome Biology
Genome Biology
Genome Medicine
International Journal for Equity in Health
International Journal of Behavioral Nutrition and Physical Activity
International Journal of Behavioural Nutrition and Physical Activity
International Journal of Health Geographics
Journal of Cheminformatics
Journal of Neuroinflammation
Lipids in Health and Disease
Malaria Journal
Malaria Journal
Malaria Journal
Molecular Brain
Molecular Brain
Molecular Pain
Nutrition Journal
Orphanet Journal of Rare Diseases
Parasites and Vectors
Public Health
Respiratory Research
Respiratory Research
Virology Journal
BMC Genomics
BMC Genomics.
BMC Infectious Diseases 
Hum Resour Health
Implement Sci.
Malaria Journal 
Malaria Journal 
Parasit Vectors.
RESPIRATORY RESEARCH
AIDS Research and Therapy
BMC Pediatrics
BMC Public Health
BMC Public Health
BMC Public Health
Human Resources for Health
Trials 
BMC Infectious diseases
Veterinary Research
Biophysical Journal
Biophysical Journal
European Journal of Endocrinology
Journal of Endocrinology
Journal of Molecular Endocrinology
Journal of molecular Endocrinology
"Reproduction(Cambridge, England)"
Cellular Microbiology
Arthritis Research and Therapy
BMC Health Services Research
